task,acc,sample_per_sub
glass,0.5345394736842105,1
semantic,0.575,1
motor,0.7973684210526315,1
mem,0.94375,1
glass,0.6848684210526316,2
semantic,0.725,2
motor,0.8983552631578947,2
mem,0.96875,2
glass,0.6851973684210526,3
semantic,0.83125,3
motor,0.9490131578947368,3
mem,0.9805555555555555,3
glass,0.7917763157894737,4
semantic,0.85,4
motor,0.9493421052631579,4
mem,0.9875,4
glass,0.8355263157894737,5
semantic,0.85625,5
motor,0.9809210526315789,5
mem,0.9805555555555555,5
glass,0.8802631578947369,6
semantic,0.9,6
motor,0.9809210526315789,6
mem,0.99375,6
glass,0.8296052631578947,7
semantic,0.89375,7
motor,0.9809210526315789,7
mem,0.99375,7
glass,0.8736842105263158,8
semantic,0.8875,8
motor,0.9871710526315789,8
mem,0.9930555555555556,8
