train_sub,test_sub,cv,cv_tpv,cv_rpv,ds,ds_tpv,ds_rpv
MSC01,MSC02,0.9375,0.9,0.9125,0.8206249999999999,0.7840930751978099,0.8715248720762491
MSC01,MSC03,0.9375,0.9,0.9125,0.842948717948718,0.7946853882996967,0.9133617407768512
MSC01,MSC04,0.9375,0.9,0.9125,0.7631249999999999,0.7854850936085027,0.7469709518097151
MSC01,MSC05,0.9375,0.9,0.9125,0.8759375,0.94010496408504,0.828769670689375
MSC01,MSC06,0.9375,0.9,0.9125,0.7519230769230769,0.9469094345552146,0.6821692800391769
MSC01,MSC07,0.9375,0.9,0.9125,0.654746835443038,0.5898938754721865,0.9837391774891775
MSC01,MSC10,0.9375,0.9,0.9125,0.5646875,0.5626169529400582,0.5683112709434762
MSC02,MSC01,0.925,0.8875,0.8875,0.694375,0.7672850098578062,0.6536922488192203
MSC02,MSC03,0.925,0.8875,0.8875,0.7974358974358974,0.8709719231092529,0.7546615894321737
MSC02,MSC04,0.925,0.8875,0.8875,0.7915625,0.7252138381630248,0.918234021725401
MSC02,MSC05,0.925,0.8875,0.8875,0.891875,0.9684602242085795,0.8383123339594388
MSC02,MSC06,0.925,0.8875,0.8875,0.8099358974358974,0.9912067960220134,0.7330025221471973
MSC02,MSC07,0.925,0.8875,0.8875,0.549367088607595,0.9928571428571429,0.5292168713789117
MSC02,MSC10,0.925,0.8875,0.8875,0.7678125,0.7668768377701827,0.7696828713641973
MSC03,MSC01,1.0,1.0,1.0,0.8233552631578948,0.805534699624842,0.8446444592199847
MSC03,MSC02,1.0,1.0,1.0,0.6210526315789474,0.5689719635772789,0.9978070175438597
MSC03,MSC04,1.0,1.0,1.0,0.7365131578947368,0.7072550062690912,0.7762310934331058
MSC03,MSC05,1.0,1.0,1.0,0.8654605263157895,0.898938223938224,0.8372967743530779
MSC03,MSC06,1.0,1.0,1.0,0.8562753036437246,0.8100598631208251,0.9152060702451773
MSC03,MSC07,1.0,1.0,1.0,0.6652231845436376,0.6309279743225442,0.7196227535724337
MSC03,MSC10,1.0,1.0,1.0,0.5286184210526316,0.5152061812322504,0.7554511278195489
MSC04,MSC01,0.9125,0.8625,0.875,0.686875,1.0,0.6151028628973404
MSC04,MSC02,0.9125,0.8625,0.875,0.8203125,0.8974545348404068,0.7693092486903865
MSC04,MSC03,0.9125,0.8625,0.875,0.7105769230769231,0.6905895726723711,0.7329984911621908
MSC04,MSC05,0.9125,0.8625,0.875,0.7721875,0.9329899333758029,0.6989139267762654
MSC04,MSC06,0.9125,0.8625,0.875,0.6166666666666667,1.0,0.572398204480637
MSC04,MSC07,0.9125,0.8625,0.875,0.6066455696202532,0.7418740034886219,0.5720599764618516
MSC04,MSC10,0.9125,0.8625,0.875,0.691875,0.8018801246247367,0.6411390940292278
MSC05,MSC01,0.925,0.8625,0.9125,0.668125,0.6847409483706048,0.6547584469195968
MSC05,MSC02,0.925,0.8625,0.9125,0.7828125,0.8073820949619834,0.7676619257528476
MSC05,MSC03,0.925,0.8625,0.9125,0.7073717948717949,0.6250479561450477,1.0
MSC05,MSC04,0.925,0.8625,0.9125,0.60625,0.6529316063967489,0.5821205163815606
MSC05,MSC06,0.925,0.8625,0.9125,0.7730769230769231,0.721341027080008,0.8574475548580469
MSC05,MSC07,0.925,0.8625,0.9125,0.6389240506329114,0.7645732667722404,0.5978226624751237
MSC05,MSC10,0.925,0.8625,0.9125,0.6659375,0.6108272506468883,0.8371543621282398
MSC06,MSC01,0.9342105263157895,0.9078947368421053,0.8947368421052632,0.6921052631578947,0.8322216711850184,0.6356521826444124
MSC06,MSC02,0.9342105263157895,0.9078947368421053,0.8947368421052632,0.6720394736842106,0.99269254371627,0.6047451790922744
MSC06,MSC03,0.9342105263157895,0.9078947368421053,0.8947368421052632,0.8711201079622132,0.8864546484719207,0.8584554047916438
MSC06,MSC04,0.9342105263157895,0.9078947368421053,0.8947368421052632,0.7819078947368421,0.9198481332421499,0.7132140537152424
MSC06,MSC05,0.9342105263157895,0.9078947368421053,0.8947368421052632,0.8276315789473684,0.9089613018861574,0.7768781421668753
MSC06,MSC07,0.9342105263157895,0.9078947368421053,0.8947368421052632,0.6092604930046636,0.6765566363438231,0.582693900656064
MSC06,MSC10,0.9342105263157895,0.9078947368421053,0.8947368421052632,0.5703947368421053,0.5525122029845234,0.6095925553170515
MSC07,MSC01,0.9615384615384616,0.9487179487179487,0.9358974358974359,0.7548076923076923,0.9382820151835729,0.6816345102995133
MSC07,MSC02,0.9615384615384616,0.9487179487179487,0.9358974358974359,0.7519230769230769,0.6969823955972878,0.8561380283599518
MSC07,MSC03,0.9615384615384616,0.9487179487179487,0.9358974358974359,0.6574621959237343,0.6672603627241764,0.6513264221636799
MSC07,MSC04,0.9615384615384616,0.9487179487179487,0.9358974358974359,0.7887820512820513,0.7919286916993868,0.7897080826374342
MSC07,MSC05,0.9615384615384616,0.9487179487179487,0.9358974358974359,0.7131410256410257,0.862070294708687,0.6515814956687288
MSC07,MSC06,0.9615384615384616,0.9487179487179487,0.9358974358974359,0.6476002629848784,0.7306018676630317,0.6140017403298786
MSC07,MSC10,0.9615384615384616,0.9487179487179487,0.9358974358974359,0.6855769230769231,0.7411572151877135,0.6527897082524784
MSC10,MSC01,0.8375,0.7625,0.775,0.5978125,0.6014598461551585,0.596299487173458
MSC10,MSC02,0.8375,0.7625,0.775,0.8021875,0.8320276349630689,0.7846436389743578
MSC10,MSC03,0.8375,0.7625,0.775,0.603525641025641,0.6040250190954889,0.6041083770972482
MSC10,MSC04,0.8375,0.7625,0.775,0.5378125,0.5204827580336734,0.7718337789661319
MSC10,MSC05,0.8375,0.7625,0.775,0.663125,0.611301434752958,0.8226408656130019
MSC10,MSC06,0.8375,0.7625,0.775,0.5560897435897436,0.5961625017254897,0.5450175744723441
MSC10,MSC07,0.8375,0.7625,0.775,0.6088607594936709,0.9852867965367965,0.5647642672149292
